1ST,FirstBlood
2GIVE,GiveCoin
808,808Coin
ABT,ArcBlock
ABY,ArtByte
AC,AsiaCoin
ACT,Achain
ADA,Cardano
ADT,adToken
ADX,AdEx
AE,Aeternity
AEON,Aeon
AGI,SingularityNET
AGRS,IDNI-Agoras
AI,POLY-AI
AID,AidCoin
AION,Aion
AIR,AirToken
AKY,Akuya-Coin
ALIS,ALIS
AMBER,AmberCoin
AMP,Synereo
ANC,Anoncoin
ANT,Aragon
APPC,AppCoins
APX,APX-Ventures
ARDR,Ardor
ARK,Ark
ARN,Aeron
AST,AirSwap
ATB,ATBCoin
ATM,ATMChain
ATS,Authorship
AUR,Auroracoin
AVT,Aventus
B3,B3Coin
BAT,Basic-Attention-Token
BAY,BitBay
BBR,Boolberry
BCAP,BCAP
BCC,BitConnect
BCD,Bitcoin-Diamond
BCH,Bitcoin-Cash
BCN,Bytecoin
BCPT,BlockMason-Credit-Protocol-Token
BCX,BitcoinX
BCY,BitCrystals
BDL,Bitdeal
BEE,Bee-Token
BELA,BelaCoin
BET,DAO-Casino
BFT,BF-Token
BIS,Bismuth
BITB,BitBean
BITBTC,BitBTC
BITCNY,BitCNY
BITEUR,BitEUR
BITGOLD,BitGOLD
BITSILVER,BitSILVER
BITUSD,BitUSD
BIX,Bibox-Token
BLITZ,Blitzcash
BLK,Blackcoin
BLN,Bolenum
BLOCK,Blocknet
BLZ,Bluzelle
BMC,Blackmoon-Crypto
BNB,Binance-Coin
BNT,Bancor-Network-Token
BNTY,Bounty0x
BOST,BoostCoin
BOT,Bodhi
BQ,bitqy
BRD,Bread
BRK,Breakout-Coin
BRX,Breakout-Stake
BTA,Bata
BTC,Bitcoin
BTCD,BitcoinDark
BTCP,Bitcoin-Private
BTG,Bitcoin-Gold
BTM,Bitmark
BTS,BitShares
BTSR,BTSR
BTX,Bitcore
BURST,Burstcoin
BUZZ,BuzzCoin
BYC,Bytecent
BYTOM,Bytom
C20,Crypto20
CANN,CannabisCoin
CAT,BlockCAT
CCRB,CryptoCarbon
CDT,Blox
CFI,Cofound-it
CHAT,ChatCoin
CHIPS,Chips
CLAM,Clams
CLOAK,CloakCoin
CMP,Compcoin
CMT,CyberMiles
CND,Cindicator
CNX,Cryptonex
COFI,CoinFi
COSS,COSS
COVAL,Circuits-Of-Value
CRBIT,CreditBIT
CREA,CreativeCoin
CREDO,Credo
CRW,Crown
CSNO,BitDice
CTR,Centra
CTXC,Cortex
CURE,CureCoin
CVC,Civic
DAI,Dai
DAR,Darcrus
DASH,Dash
DATA,DATAcoin
DAY,Chronologic
DBC,DeepBrain-Chain
DBIX,DubaiCoin
DCN,Dentacoin
DCR,Decred
DCT,DECENT
DDF,Digital-Developers-Fund
DENT,Dent
DFS,DFSCoin
DGB,DigiByte
DGC,Digitalcoin
DGD,DigixDAO
DICE,Etheroll
DLT,Agrello-Delta
DMD,Diamond
DMT,DMarket
DNT,district0x
DOGE,DogeCoin
DOPE,DopeCoin
DRGN,Dragonchain
DTA,Data
DTB,Databits
DYN,Dynamic
EAC,EarthCoin
EBST,eBoost
EBTC,eBTC
ECC,ECC
ECN,E-coin
EDG,Edgeless
EDO,Eidoo
EFL,Electronic-Gulden
EGC,EverGreenCoin
EKT,EDUCare
ELA,Elastos
ELEC,Electrify.Asia
ELF,aelf
ELIX,Elixir
EMB,Embercoin
EMC,Emercoin
EMC2,Einsteinium
ENG,Enigma
ENJ,Enjin-Coin
ENRG,EnergyCoin
EOS,EOS
EOT,EOT-Token
EQT,EquiTrader
ERC,EuropeCoin
ETC,Ethereum-Classic
ETH,Ethereum
ETHD,Ethereum-Dark
ETHOS,Ethos
ETN,Electroneum
ETP,Metaverse-Entropy
ETT,EncryptoTel
EVE,Devery
EVX,Everex
EXCL,ExclusiveCoin
EXP,Expanse
FCT,Factom
FLDC,FoldingCoin
FLO,FlorinCoin
FLT,FlutterCoin
FRST,FirstCoin
FTC,Feathercoin
FUEL,Etherparty
FUN,FunFair
GAM,Gambit
GAME,GameCredits
GAS,Gas
GBG,Golos Gold
GBX,GoByte
GBYTE,Byteball
GCR,GCRCoin
GEO,GeoCoin
GLD,GoldCoin
GNO,Gnosis-Token
GNT,Golem-Tokens
GOLOS,Golos
GRC,Gridcoin
GRS,Groestlcoin
GRWI,Growers-International
GTC,Game
GTO,Gifto
GUP,Guppy
GVT,Genesis-Vision
GXS,GXShares
HBN,HoboNickels
HEAT,HEAT
HMQ,Humaniq
HPB,High-Performance-Blockchain
HSR,Hshare
HUSH,Hush
HVN,Hive
HXX,HexxCoin
ICN,ICONOMI
ICX,ICON
IFC,Infinitecoin
IFT,investFeed
IGNIS,Ignis
INCNT,Incent
IND,Indorse-Token
INF,InfChain
INK,Ink
INS,INS-Ecosystem
INSTAR,Insights-Network
INT,Internet-Node-Token
INXT,Internxt
IOC,IOCoin
ION,ION
IOP,Internet-of-People
IOST,IOStoken
IOTA,IOTA
IOTX,IoTeX
IQT,Iquant-Chain
ITC,IoT-Chain
IXC,iXcoin
IXT,InsureX
J8T,JET8
JNT,Jibrel-Network
KCS,KuCoin
KICK,KickCoin
KIN,KIN
KMD,Komodo
KNC,Kyber-Network
KORE,KoreCoin
LBC,LBRY-Credits
LCC,Litecoin-Cash
LEND,EthLend
LEV,Leverj
LGD,Legends-Room
LINDA,Linda
LINK,ChainLink
LKK,Lykke
LMC,LoMoCoin
LOCI,LOCIcoin
LOOM,Loom-Token
LRC,Loopring
LSK,Lisk
LTC,Litecoin
LUN,Lunyr
MAID,MaidSafeCoin
MANA,Decentraland
MAX,Maxcoin
MBRS,Embers
MCAP,MCAP
MCO,Monaco
MDA,Moeda-Loyalty-Points
MEC,Megacoin
MED,MediBlock
MEME,Memetic
MER,Mercury
MGC,MergeCoin
MGO,MobileGo
MINEX,Minex
MINT,Mintcoin
MITH,Mithril
MKR,Maker
MLN,Melon
MNE,Minereum
MNX,MinexCoin
MOD,Modum
MONA,MonaCoin
MRT,Miners-Reward-Token
MSP,Mothership
MTH,Monetha
MTN,MedToken
MUE,MonetaryUnit
MUSIC,Musicoin
MYB,MyBit-Token
MYST,Mysterium
MZC,Mazacoin
NAMO,Namocoin
NANO,Nano
NAS,Nebulas-Token
NAV,Nav-Coin
NBT,NuBits
NCASH,Nucleus-Vision
NDC,NeverDie-Coin
NEBL,Neblio
NEO,NEO
NEOS,NeosCoin
NET,Nimiq
NLC2,NoLimitCoin
NLG,Gulden
NMC,Namecoin
NMR,Numeraire
NOBL,NobleCoin
NOTE,DNotes
NPXS,Pundi-X-Token
NSR,NuShares
NTO,Fujinto
NULS,Nuls
NVC,Novacoin
NXC,Nexium
NXS,Nexus
NXT,Nxt
OAX,openANX
OBITS,Obits
OCL,Oceanlab
OCN,Odyssey
ODEM,ODEM
ODN,Obsidian
OF,OFCOIN
OK,OKCash
OMG,OmiseGo
OMNI,Omni
ONION,DeepOnion
ONT,Ontology
OPT,Opus
OST,Simple-Token
PART,Particl
PASC,PascalCoin
PAY,TenX
PBL,Pebbles
PBT,Primalbase-Token
PFR,Payfair
PING,CryptoPing
PINK,Pinkcoin
PIVX,PIVX
PIX,Lampix
PLBT,Polybius
PLR,Pillar
PLU,Pluton
POA,POA-Network
POE,Poet
POLY,Polymath
POSW,PoSW-Coin
POT,PotCoin
POWR,Power-Ledger
PPC,Peercoin
PPT,Populous
PPY,Peerplays
PRG,Paragon-Coin
PRL,Oyster-Pearl
PRO,Propy
PST,Primas
PTC,Pesetacoin
PTOY,Patientory
PURA,Pura
QASH,QASH
QAU,Quantum
QLC,Qlink
QRK,Quark
QRL,Quantum-Resistant-Ledger
QSP,Quantstamp
QTL,Quatloo
QTUM,Qtum
QWARK,Qwark
R,Revain
RADS,Radium
RAIN,Condensate
RBIES,Rubies
RBX,Ripto-Bux
RBY,RubyCoin
RCN,Ripio-Credit-Network
RDD,ReddCoin
RDN,Raiden-Network-Token
REC,Regalcoin
RED,Redcoin
REP,Augur
REQ,Request-Network
RHOC,RChain
RIC,Riecoin
RISE,Rise
RLC,RLC-Token
RLT,RouletteToken
RPX,Red-Pulse
RRT,Recovery-Right-Tokens
RUFF,Ruff
RUP,Rupee
RVT,Rivetz
SAFEX,SafeExchangeCoin
SALT,Salt
SAN,Santiment-Network-Token
SBD,Steem-Dollars
SBTC,Super-Bitcoin
SC,Siacoin
SEELE,Seele
SEQ,Sequence
SHIFT,SHIFT
SIB,SIBCoin
SIGMA,SIGMAcoin
SIGT,Signatum
SJCX,Storjcoin-X
SKIN,SkinCoin
SKY,Skycoin
SLR,SolarCoin
SLS,SaluS
SMART,SmartCash
SMT,SmartMesh
SNC,SunContract
SNGLS,SingularDTV
SNM,SONM
SNRG,Synergy
SNT,Status-Network-Token
SOC,All-Sports
SOUL,Phantasma
SPANK,SpankChain
SPC,SpaceChain
SPHR,Sphere
SPR,SpreadCoin
SRN,Sirin-Labs-Token
START,Startcoin
STEEM,Steem
STK,STK-Token
STORJ,Storj
STORM,Storm
STQ,Storiqa
STRAT,Stratis
STX,Stox
SUB,Substratum
SWFTC,SwftCoin
SWIFT,Bitswift
SWT,Swarm-City
SYNX,Syndicate
SYS,SysCoin
TAAS,Taas
TAU,Lamden
TCC,The-ChampCoin
TFL,True-Flip
THC,HempCoin
THETA,Theta-Token
TIME,Time
TIX,Blocktix
TKN,TokenCard
TKR,Trackr
TKS,Tokes
TNB,Time-New-Bank
TNT,Tierion
TOA,ToaCoin
TRAC,OriginTrail
TRC,Terracoin
TRCT,Tracto
TRIG,Triggers
TRST,Trustcoin
TRUE,TrueChain
TRUST,TrustPlus
TRX,Tronix
TUSD,TrueUSD
TX,TransferCoin
UBQ,Ubiq
UKG,UnikoinGold
ULA,Ulatech
UNB,UnbreakableCoin
UNITY,SuperNET
UNO,Unobtanium
UNY,Unity-Ingot
UP,UpToken
URO,Uro
USDT,Tether
UTK,UTrust
VEE,BLOCKv
VEN,VeChain
VERI,Veritaseum
VIA,Viacoin
VIB,Viberate
VIBE,Vibe
VIVO,VIVO
VOISE,Voise
VOX,Voxels
VPN,VPNCoin
VRC,Vericoin
VRM,Verium
VRS,Veros
VSL,vSlice
VTC,Vertcoin
VTR,vTorrent
WABI,WaBi
WAN,Wanchain
WAVES,Waves
WAX,Wax-Token
WCT,Waves-Community
WDC,WorldCoin
WGO,WavesGo
WGR,Wagerr
WINGS,Wings
WPR,WePower
WTC,Walton
WTT,Giga-Watt-Token
XAS,Asch
XAUR,Xaurum
XBC,Bitcoin-Plus
XBY,XtraBYtes
XCN,Cryptonite
XCP,Counterparty
XDN,DigitalNote
XEL,Elastic
XEM,NEM
XID,Sphere-Identity
XLM,Stellar
XMG,Magi
XMR,Monero
XMT,Metal
XMY,Myriadcoin
XPM,Primecoin
XRL,Rialto
XRP,Ripple
XSPEC,Spectrecoin
XST,Stealthcoin
XTZ,Tezos
XUC,Exchange-Union
XVC,Vcash
XVG,Verge
XWC,WhiteCoin
XZC,ZCoin
XZR,ZrCoin
YEE,Yee
YOYOW,YOYOW
ZCC,ZcCoin
ZCL,Zclassic
ZCO,Zebi
ZEC,Zcash
ZEN,ZenCash
ZET,Zetacoin
ZIL,Zilliqa
ZLA,Zilla
ZRX,0x
